DestinationPlateBarcode	DestinationPlateWell	SourcePlateBarcode	SourcePlateWell	Volume	ComponentName	description	plasmid_id
SBC50042389	A1	dominoes_new	B4	3	At-lCHI [25:649] - PlacUV5 2 (deprecated) [25:490]	SBC000104_SBC000126 	SBC003394
SBC50042389	A1	dominoes_new	C2	3	Ptrc2 (deprecated) [25:407] - Sc-4CL [25:1684]	SBC000124_SBC000099 	SBC003394
SBC50042389	A1	dominoes_new	C1	3	At-CHS [25:1273] - Ptrc2 (deprecated) [25:407]	SBC000103_SBC000124 	SBC003394
SBC50042389	A1	dominoes_new	A1	3	pBbE1a - At-lCHI [25:649]	SBC002450_SBC000104 	SBC003394
SBC50042389	A1	dominoes_new	A5	3	At-PAL1 [25:2263] - pBbE1a	SBC000096_SBC002450	SBC003394
SBC50042389	A1	dominoes_new	C6	3	PlacUV5 2 (deprecated) [25:490] - At-CHS [25:1273]	SBC000126_SBC000103 	SBC003394
SBC50042389	A1	dominoes_new	B8	3	Sc-4CL [25:1684] - At-PAL1 [25:2263]	SBC000099_SBC000096 	SBC003394
SBC50042389	A2	dominoes_new	C3	3	At-CHS [25:1273] - PlacUV5 3 (deprecated) [25:488]	SBC000103_SBC000127 	SBC003395
SBC50042389	A2	dominoes_new	B4	3	At-lCHI [25:649] - PlacUV5 2 (deprecated) [25:490]	SBC000104_SBC000126 	SBC003395
SBC50042389	A2	dominoes_new	C4	3	PlacUV5 3 (deprecated) [25:488] - Sc-4CL [25:1684]	SBC000127_SBC000099 	SBC003395
SBC50042389	A2	dominoes_new	A1	3	pBbE1a - At-lCHI [25:649]	SBC002450_SBC000104 	SBC003395
SBC50042389	A2	dominoes_new	A5	3	At-PAL1 [25:2263] - pBbE1a	SBC000096_SBC002450	SBC003395
SBC50042389	A2	dominoes_new	C6	3	PlacUV5 2 (deprecated) [25:490] - At-CHS [25:1273]	SBC000126_SBC000103 	SBC003395
SBC50042389	A2	dominoes_new	B8	3	Sc-4CL [25:1684] - At-PAL1 [25:2263]	SBC000099_SBC000096 	SBC003395
SBC50042389	A3	dominoes_new	C3	3	At-CHS [25:1273] - PlacUV5 3 (deprecated) [25:488]	SBC000103_SBC000127 	SBC003392
SBC50042389	A3	dominoes_new	B2	3	At-lCHI [25:649] - Ptrc (deprecated) [25:412]	SBC000104_SBC000088 	SBC003392
SBC50042389	A3	dominoes_new	C4	3	PlacUV5 3 (deprecated) [25:488] - Sc-4CL [25:1684]	SBC000127_SBC000099 	SBC003392
SBC50042389	A3	dominoes_new	A1	3	pBbE1a - At-lCHI [25:649]	SBC002450_SBC000104 	SBC003392
SBC50042389	A3	dominoes_new	A5	3	At-PAL1 [25:2263] - pBbE1a	SBC000096_SBC002450	SBC003392
SBC50042389	A3	dominoes_new	B8	3	Sc-4CL [25:1684] - At-PAL1 [25:2263]	SBC000099_SBC000096 	SBC003392
